No,R,I,A,S,E,C,Group
1,0.017,0.125,0.161,0.162,0.412,0.395,13
2,0.026,0.031,0.119,0.17,0.112,0.069,1
3,0.028,0.029,0.127,0.296,0.089,0.103,1
4,0.029,0.115,0.028,0.06,0.216,0.4,16
5,0.032,0.015,0.476,0.4,0.259,0.155,4
6,0.033,0.293,0.417,0.229,0.258,0.276,29
7,0.033,0.119,0.422,0.473,0.798,0.858,3
8,0.034,0.026,0.035,0.035,0.028,0.026,1
9,0.038,0.315,0.509,0.421,0.533,0.229,13
10,0.04,0.229,0.252,0.489,0.424,0.5,20
11,0.041,0.069,0.447,0.274,0.096,0.051,4
12,0.042,0.143,0.268,0.477,0.449,0.32,13
13,0.043,0.099,0.112,0.192,0.437,0.095,13
14,0.044,0.2,0.199,0.728,0.509,0.636,54
15,0.044,0.194,0.074,0.081,0.444,0.494,6
16,0.045,0.131,0.616,0.703,0.615,0.189,21
17,0.045,0.109,0.117,0.04,0.086,0.083,1
18,0.045,0.117,0.846,0.437,0.347,0.17,67
19,0.046,0.113,0.123,0.07,0.084,0.044,1
20,0.047,0.095,0.138,0.306,0.404,0.332,13
21,0.051,0.148,0.141,0.234,0.117,0.193,16
22,0.051,0.224,0.343,0.708,0.666,0.665,54
23,0.053,0.187,0.127,0.536,0.592,0.376,42
24,0.053,0.069,0.343,0.268,0.128,0.086,1
25,0.054,0.74,0.522,0.586,0.727,0.444,45
26,0.054,0.174,0.146,0.395,0.418,0.468,13
27,0.055,0.134,0.494,0.337,0.369,0.215,35
28,0.056,0.15,0.177,0.204,0.422,0.376,13
29,0.056,0.137,0.053,0.138,0.127,0.097,1
30,0.057,0.313,0.297,0.505,0.871,0.68,3
31,0.057,0.131,0.395,0.34,0.197,0.545,30
32,0.057,0.068,0.425,0.478,0.274,0.341,35
33,0.058,0.112,0.124,0.48,0.071,0.09,16
34,0.058,0.081,0.177,0.096,0.055,0.031,1
35,0.059,0.1,0.147,0.122,0.082,0.132,1
36,0.059,0.243,0.273,0.456,0.465,0.384,13
37,0.06,0.261,0.113,0.064,0.071,0.039,1
38,0.06,0.092,0.486,0.39,0.263,0.369,35
39,0.061,0.058,0.065,0.059,0.05,0.074,1
40,0.062,0.032,0.155,0.397,0.155,0.186,16
41,0.062,0.128,0.379,0.408,0.214,0.05,4
42,0.063,0.182,0.069,0.025,0.047,0.073,1
43,0.064,0.083,0.055,0.056,0.041,0.051,1
44,0.064,0.516,0.293,0.294,0.598,0.518,5
45,0.064,0.125,0.133,0.53,0.294,0.27,35
46,0.065,0.087,0.052,0.125,0.24,0.481,30
47,0.065,0.314,0.041,0.742,0.74,0.526,54
48,0.065,0.021,0.064,0.058,0.036,0.027,1
49,0.065,0.093,0.129,0.098,0.122,0.102,1
50,0.065,0.05,0.229,0.118,0.069,0.052,1
51,0.066,0.165,0.117,0.369,0.337,0.385,13
52,0.066,0.217,0.048,0.113,0.136,0.205,1
53,0.067,0.31,0.151,0.243,0.302,0.465,30
54,0.067,0.044,0.438,0.28,0.194,0.148,4
55,0.067,0.138,0.53,0.291,0.173,0.104,4
56,0.067,0.092,0.473,0.389,0.196,0.067,4
57,0.067,0.042,0.058,0.066,0.052,0.065,1
58,0.068,0.08,0.197,0.113,0.105,0.091,1
59,0.068,0.12,0.509,0.69,0.359,0.27,21
60,0.068,0.25,0.365,0.521,0.477,0.443,20
61,0.068,0.091,0.327,0.338,0.626,0.607,27
62,0.068,0.114,0.134,0.178,0.092,0.055,1
63,0.068,0.056,0.151,0.175,0.085,0.087,1
64,0.068,0.143,0.475,0.466,0.647,0.556,27
65,0.069,0.075,0.053,0.058,0.087,0.057,1
66,0.069,0.08,0.287,0.328,0.135,0.115,16
67,0.07,0.055,0.018,0.034,0.047,0.079,1
68,0.07,0.091,0.187,0.319,0.11,0.167,16
69,0.071,0.053,0.435,0.085,0.046,0.034,1
70,0.071,0.292,0.698,0.466,0.483,0.437,53
71,0.072,0.513,0.291,0.373,0.288,0.299,46
72,0.072,0.071,0.032,0.032,0.035,0.181,1
73,0.072,0.066,0.392,0.174,0.063,0.099,1
74,0.073,0.802,0.154,0.376,0.392,0.124,46
75,0.073,0.109,0.19,0.359,0.19,0.251,16
76,0.074,0.146,0.126,0.089,0.136,0.094,1
77,0.074,0.122,0.15,0.28,0.079,0.119,1
78,0.074,0.059,0.084,0.117,0.069,0.085,1
79,0.075,0.344,0.428,0.506,0.247,0.212,35
80,0.075,0.285,0.348,0.613,0.552,0.551,54
81,0.075,0.097,0.853,0.27,0.248,0.085,4
82,0.075,0.078,0.141,0.181,0.249,0.246,16
83,0.075,0.116,0.324,0.254,0.199,0.137,16
84,0.076,0.118,0.226,0.583,0.534,0.435,21
85,0.076,0.03,0.731,0.472,0.379,0.188,41
86,0.077,0.105,0.088,0.055,0.069,0.078,1
87,0.078,0.085,0.051,0.086,0.076,0.096,1
88,0.078,0.12,0.052,0.284,0.171,0.068,1
89,0.078,0.105,0.433,0.308,0.192,0.097,4
90,0.078,0.163,0.374,0.466,0.386,0.432,20
91,0.078,0.223,0.185,0.186,0.173,0.231,16
92,0.078,0.102,0.27,0.127,0.123,0.026,1
93,0.078,0.121,0.098,0.143,0.078,0.077,1
94,0.079,0.195,0.396,0.545,0.498,0.288,21
95,0.079,0.162,0.076,0.213,0.385,0.391,13
96,0.079,0.276,0.539,0.564,0.408,0.396,15
97,0.079,0.118,0.141,0.239,0.305,0.135,16
98,0.08,0.503,0.243,0.186,0.41,0.163,46
99,0.08,0.248,0.411,0.222,0.256,0.21,16
100,0.081,0.299,0.212,0.464,0.606,0.348,42
101,0.081,0.084,0.19,0.199,0.091,0.147,1
102,0.081,0.144,0.068,0.072,0.321,0.237,16
103,0.081,0.663,0.143,0.316,0.656,0.531,69
104,0.082,0.346,0.408,0.274,0.385,0.413,13
105,0.083,0.107,0.141,0.244,0.325,0.058,16
106,0.083,0.35,0.282,0.826,0.64,0.72,54
107,0.083,0.081,0.068,0.082,0.102,0.085,1
108,0.083,0.457,0.112,0.121,0.573,0.622,6
109,0.083,0.413,0.077,0.205,0.588,0.281,11
110,0.084,0.036,0.215,0.326,0.14,0.159,16
111,0.084,0.317,0.218,0.538,0.683,0.509,42
112,0.084,0.135,0.144,0.252,0.412,0.455,13
113,0.084,0.188,0.558,0.603,0.725,0.564,27
114,0.084,0.375,0.183,0.284,0.197,0.153,16
115,0.084,0.268,0.352,0.189,0.065,0.051,1
116,0.084,0.089,0.234,0.09,0.236,0.358,16
117,0.084,0.088,0.141,0.51,0.414,0.679,20
118,0.085,0.242,0.383,0.391,0.252,0.197,35
119,0.086,0.295,0.363,0.527,0.688,0.561,54
120,0.086,0.062,0.356,0.389,0.314,0.313,35
121,0.087,0.09,0.36,0.269,0.203,0.298,16
122,0.087,0.083,0.085,0.188,0.062,0.089,1
123,0.087,0.112,0.363,0.181,0.173,0.052,1
124,0.087,0.147,0.562,0.681,0.313,0.231,41
125,0.088,0.117,0.599,0.343,0.245,0.097,4
126,0.088,0.144,0.543,0.175,0.149,0.139,4
127,0.088,0.082,0.044,0.081,0.097,0.092,1
128,0.088,0.211,0.09,0.257,0.236,0.207,16
129,0.088,0.088,0.289,0.32,0.123,0.062,1
130,0.088,0.374,0.316,0.352,0.322,0.221,29
131,0.088,0.066,0.294,0.15,0.084,0.049,1
132,0.088,0.541,0.83,0.428,0.684,0.478,45
133,0.089,0.418,0.625,0.325,0.414,0.383,15
134,0.089,0.468,0.252,0.566,0.532,0.513,5
135,0.089,0.109,0.13,0.117,0.087,0.101,1
136,0.089,0.131,0.641,0.299,0.14,0.172,4
137,0.09,0.121,0.098,0.101,0.096,0.105,1
138,0.09,0.347,0.177,0.369,0.207,0.135,16
139,0.09,0.144,0.593,0.527,0.121,0.085,4
140,0.09,0.19,0.166,0.216,0.191,0.133,16
141,0.09,0.211,0.356,0.55,0.593,0.664,54
142,0.09,0.039,0.387,0.056,0.073,0.077,1
143,0.091,0.061,0.15,0.124,0.079,0.049,1
144,0.091,0.098,0.316,0.444,0.454,0.472,20
145,0.091,0.458,0.129,0.226,0.448,0.262,46
146,0.091,0.309,0.543,0.168,0.237,0.186,4
147,0.091,0.151,0.09,0.538,0.82,0.565,3
148,0.091,0.079,0.434,0.542,0.378,0.18,35
149,0.092,0.167,0.418,0.428,0.401,0.262,35
150,0.092,0.104,0.369,0.346,0.315,0.131,35
151,0.092,0.178,0.339,0.09,0.314,0.443,30
152,0.092,0.093,0.554,0.454,0.275,0.207,35
153,0.093,0.126,0.177,0.113,0.145,0.104,1
154,0.093,0.126,0.499,0.381,0.24,0.118,4
155,0.093,0.04,0.691,0.386,0.251,0.181,4
156,0.093,0.088,0.316,0.435,0.271,0.246,35
157,0.093,0.167,0.326,0.493,0.627,0.495,42
158,0.093,0.111,0.197,0.412,0.366,0.283,13
159,0.094,0.117,0.358,0.596,0.448,0.304,21
160,0.094,0.077,0.176,0.07,0.187,0.187,1
161,0.095,0.183,0.119,0.378,0.258,0.175,16
162,0.095,0.141,0.554,0.251,0.024,0.035,4
163,0.095,0.148,0.211,0.69,0.674,0.583,54
164,0.096,0.548,0.079,0.122,0.077,0.218,9
165,0.096,0.197,0.416,0.474,0.583,0.533,27
166,0.096,0.155,0.337,0.497,0.384,0.328,35
167,0.096,0.072,0.113,0.231,0.312,0.102,16
168,0.096,0.084,0.041,0.045,0.041,0.045,1
169,0.096,0.107,0.134,0.333,0.327,0.367,13
170,0.096,0.289,0.484,0.399,0.557,0.461,20
171,0.097,0.184,0.293,0.175,0.076,0.049,1
172,0.097,0.209,0.147,0.225,0.183,0.126,16
173,0.098,0.219,0.675,0.476,0.665,0.539,27
174,0.098,0.366,0.19,0.921,0.512,0.588,54
175,0.098,0.077,0.072,0.098,0.081,0.069,1
176,0.099,0.352,0.548,0.62,0.643,0.364,42
177,0.099,0.178,0.241,0.463,0.877,0.523,3
178,0.099,0.074,0.433,0.463,0.4,0.252,35
179,0.099,0.139,0.264,0.143,0.12,0.062,1
180,0.099,0.072,0.064,0.097,0.072,0.06,1
181,0.1,0.122,0.477,0.6,0.343,0.357,21
182,0.1,0.056,0.244,0.221,0.095,0.139,1
183,0.1,0.108,0.373,0.417,0.248,0.526,30
184,0.1,0.18,0.451,0.3,0.449,0.299,13
185,0.1,0.051,0.07,0.198,0.151,0.425,30
186,0.1,0.111,0.146,0.062,0.232,0.113,1
187,0.101,0.273,0.526,0.589,0.788,0.515,42
188,0.101,0.219,0.034,0.165,0.218,0.118,16
189,0.101,0.123,0.609,0.572,0.318,0.182,41
190,0.101,0.121,0.481,0.408,0.255,0.122,4
191,0.101,0.136,0.504,0.688,0.553,0.403,10
192,0.101,0.116,0.083,0.113,0.085,0.077,1
193,0.101,0.183,0.28,0.325,0.251,0.253,16
194,0.102,0.379,0.295,0.423,0.412,0.46,20
195,0.102,0.594,0.123,0.242,0.814,0.574,69
196,0.102,0.085,0.471,0.372,0.344,0.184,35
197,0.102,0.497,0.35,0.355,0.625,0.813,69
198,0.102,0.09,0.26,0.135,0.236,0.125,16
199,0.102,0.19,0.38,0.388,0.53,0.494,20
200,0.102,0.144,0.047,0.039,0.114,0.065,1
201,0.103,0.146,0.23,0.396,0.249,0.199,35
202,0.103,0.413,0.247,0.311,0.169,0.131,9
203,0.103,0.081,0.052,0.088,0.082,0.093,1
204,0.103,0.347,0.639,0.527,0.664,0.368,42
205,0.103,0.095,0.077,0.119,0.262,0.377,16
206,0.104,0.159,0.156,0.383,0.424,0.226,13
207,0.104,0.264,0.469,0.74,0.936,0.552,48
208,0.104,0.106,0.267,0.499,0.191,0.45,30
209,0.104,0.069,0.318,0.228,0.096,0.078,1
210,0.105,0.195,0.494,0.458,0.465,0.742,27
211,0.105,0.208,0.617,0.619,0.524,0.397,10
212,0.105,0.118,0.375,0.453,0.227,0.154,35
213,0.105,0.086,0.384,0.824,0.451,0.341,21
214,0.106,0.113,0.364,0.403,0.524,0.563,20
215,0.106,0.112,0.263,0.161,0.162,0.105,1
216,0.107,0.105,0.074,0.264,0.105,0.095,1
217,0.107,0.044,0.32,0.284,0.28,0.097,16
218,0.107,0.326,0.764,0.591,0.749,0.333,43
219,0.107,0.083,0.338,0.352,0.181,0.185,16
220,0.107,0.181,0.292,0.703,0.345,0.256,21
221,0.107,0.418,0.816,0.586,0.86,0.171,43
222,0.108,0.565,0.106,0.135,0.125,0.266,9
223,0.108,0.316,0.215,0.472,0.457,0.554,20
224,0.108,0.067,0.145,0.069,0.149,0.166,1
225,0.108,0.471,0.382,0.58,0.56,0.411,42
226,0.108,0.192,0.614,0.469,0.631,0.562,27
