Rank,Model,acc_mean,acc_sd,f1_macro_mean,f1_macro_sd,prec_macro_mean,prec_macro_sd,rec_macro_mean,rec_macro_sd
1,SVM_linear,0.9655815020762514,0.0015480764242570442,0.9143117155787776,0.0034174351040924017,0.9248600058679518,0.0027837294817487607,0.9101186691402046,0.004548671553940816
2,SVM_RBF,0.9455323009623038,0.003251852325472742,0.8864903868322631,0.006877096426698999,0.8969562209358972,0.009642046355854866,0.8827247049045825,0.007140303375219468
3,NaiveBayes,0.9354458559004979,0.0023396366424073825,0.8958249601425491,0.004465947356633181,0.8906067252742427,0.003498350008582047,0.9088535426866301,0.006475505919642681
4,XGBoost,0.9006858299154523,0.0017425242418921169,0.8239633089862763,0.005195171830798018,0.8719567894757467,0.007212145436833572,0.7924909468905688,0.007700386927146112
5,RandomForest,0.8813196175055223,0.0014878745858238843,0.8165243027682865,0.006243436510131028,0.8875482634495651,0.007852578527076394,0.7696008015704245,0.008047979536236491
6,KNN,0.8635674539711709,0.004130590629128005,0.7433134321395686,0.010357651589310686,0.8980586440410931,0.0058861494337141725,0.6705518240486509,0.014282937555021033
7,SVM_polynomial,0.8538217857350962,0.00489296848567763,0.8537879957352311,0.005472032207666064,0.8208087649350159,0.00968019951264676,0.9057784385637918,0.004867625493293225
8,LogisticRegression,0.8239966213661989,0.0039054865742091226,0.8115074576162635,0.004992208511163817,0.7378503753220131,0.005855930183111765,0.9291695948850215,0.0038271921582180525
9,DecisionTree,0.7203996958459081,0.005766759022247961,0.6196421175183102,0.013405990286230789,0.6453914125860379,0.019835864218906527,0.6077477488397373,0.010965957333646355
10,GradientBoosting,0.6076125396625893,0.34112813316506,0.37652644910787325,0.22187976407490603,0.41705455570782435,0.23415630344939242,0.3682775117508991,0.21535706719043723
11,LightGBM,0.4721527184855477,0.37576585630435144,0.3598118121265207,0.38076122640586346,0.3801166387946245,0.4071439630450758,0.3583284635473859,0.35714045772452774
12,SVM_LinearSVC,0.4305265824223398,0.003851822335528079,0.5301397874145517,0.005779500121076327,0.46671535856383156,0.0052242484979295985,0.6963164234915742,0.010095816778515994
13,SVM_sigmoid,0.14785384037881535,0.0023278390531731473,0.152805313604428,0.0065302649578976,0.20880834435542245,0.009084069683079751,0.14837560522338536,0.005834809105011287
